Bloque,UE,Dosis,Variedad,HSM,HM,R,PesoPA,PesoT,Pn,GrM2,NombreV,AS,PM2
1,1,4,1,"5,14","3,3","1,53","8,44","9,97","1,5",1282,Penca Ancha,"487,336","53,17333333"
1,2,4,2,"8,27","3,77","2,32","12,04","14,36","1,5",1282,Penca Verde,"502,07","76,58666667"
1,3,3,1,"10,64","3,79","2,25","14,43","16,68",1,854,Penca Ancha,"623,805","88,96"
1,4,3,2,"9,54","3,19","2,57","12,73","15,3",1,854,Penca Verde,"550,557","81,6"
1,5,1,2,"6,25","3,24","1,86","9,49","11,35",0,0,Penca Verde,"594,31","60,53333333"
1,6,2,2,"11,13","7,26","2,65","18,39","21,04","0,5",427,Penca Verde,"1034,753","112,2133333"
1,7,2,1,"5,94","2,44","1,22","8,38","9,6","0,5",427,Penca Ancha,"506,423","51,2"
1,8,1,1,"4,45","1,7","0,77","6,15","6,92",0,0,Penca Ancha,"326,686","36,90666667"
2,1,2,1,"12,04","2,42","2,19","14,46","16,65","0,5",427,Penca Ancha,"445,818","88,8"
2,2,1,1,25,"2,42","5,59","27,42","33,01",0,0,Penca Ancha,"395,821","176,0533333"
2,3,3,1,"25,33","4,39","5,74","29,72","35,46",1,854,Penca Ancha,"645,137","189,12"
2,4,3,2,"20,28","3,9","7,68","24,18","31,86",1,854,Penca Verde,"692,314","169,92"
2,5,1,2,"32,9","1,58","11,16","34,48","45,64",0,0,Penca Verde,"261,279","243,4133333"
2,6,4,1,"15,8","1,52","2,22","17,32","19,54","1,5",1282,Penca Ancha,"296,929","104,2133333"
2,7,4,2,"29,99","2,48","6,98","32,47","39,45","1,5",1282,Penca Verde,"542,445","210,4"
2,8,2,2,"17,89","2,49","4,88","20,38","25,26","0,5",427,Penca Verde,"512,533","134,72"
3,1,1,1,"12,93","4,51","2,37","17,44","19,81",0,0,Penca Ancha,"653,702","105,6533333"
3,2,4,1,"17,93","6,46","5,62","24,39","30,01","1,5",1282,Penca Ancha,"861,919","160,0533333"
3,3,3,1,"13,45","5,09","4,35","18,54","22,89",1,854,Penca Ancha,"1057,679","122,08"
3,4,2,2,"14,94","4,45","3,84","19,39","23,23","0,5",427,Penca Verde,"756,904","123,8933333"
3,5,3,2,"30,81","4,45","10,85","35,26","46,11",1,854,Penca Verde,"781,449","245,92"
3,6,4,2,"22,14","4,35","6,19","26,49","32,68","1,5",1282,Penca Verde,"726,628","174,2933333"
3,7,2,1,"6,15","2,23","1,76","8,38","10,14","0,5",427,Penca Ancha,"459,435","54,08"
3,8,1,2,"15,7","3,98","5,07","19,68","24,75",0,0,Penca Verde,"548,105",132
4,1,4,2,"20,46","3,53","7,27","23,99","31,26","1,5",1282,Penca Verde,"557,885","166,72"
4,2,1,2,"5,48","2,38","2,59","7,86","10,45",0,0,Penca Verde,"448,255","55,73333333"
4,3,2,2,"11,5","3,81","4,49","15,31","19,8","0,5",427,Penca Verde,"580,478","105,6"
4,4,1,1,"3,57","3,3","1,05","6,87","7,92",0,0,Penca Ancha,"540,351","42,24"
4,5,3,2,"9,8","2,85","5,99","12,65","18,64",1,854,Penca Verde,"578,248","99,41333333"
4,6,4,1,"5,58","1,53","1,41","7,11","8,52","1,5",1282,Penca Ancha,"255,195","45,44"
4,7,3,1,"4,32","0,86","1,01","5,18","6,19",1,854,Penca Ancha,"194,361","33,01333333"
4,8,2,1,"4,87","1,38","1,39","6,25","7,64","0,5",427,Penca Ancha,"262,435","40,74666667"