Bloque,UE,Dosis,Variedad,Pesos_hojas,Peso_Raiz,Razon_RPA,Pn,GrM2,NombreV,PesoT,A,PTM2
1,1,4,1,"0,69","0,05","13,8","1,5",1282,Penca Ancha,"0,74","147,952","3,946666667"
1,2,4,2,"0,41","0,05","8,2","1,5",1282,Penca Verde,"0,46","93,705","2,453333333"
1,3,3,1,"0,4","0,07","5,714285714",1,854,Penca Ancha,"0,47","80,246","2,506666667"
1,4,3,2,"0,7","0,06","11,66666667",1,854,Penca Verde,"0,76","162,193","4,053333333"
1,5,1,2,"0,18","0,04","4,5",0,0,Penca Verde,"0,22","51,222","1,173333333"
1,6,2,2,"0,62","0,04","15,5","0,5",427,Penca Verde,"0,66","151,354","3,52"
1,7,2,1,"0,51","0,08","6,375","0,5",427,Penca Ancha,"0,59","122,487","3,146666667"
1,8,1,1,"0,24","0,06",4,0,0,Penca Ancha,"0,3","39,216","1,6"
2,1,2,1,"0,83","0,11","7,545454545","0,5",427,Penca Ancha,"0,94","186,78","5,013333333"
2,2,1,1,"1,46","0,17","8,588235294",0,0,Penca Ancha,"1,63","317,397","8,693333333"
2,3,3,1,"0,65","0,08","8,125",1,854,Penca Ancha,"0,73","136,969","3,893333333"
2,4,3,2,"1,49","0,17","8,764705882",1,854,Penca Verde,"1,66","430,782","8,853333333"
2,5,1,2,"1,51","0,18","8,388888889",0,0,Penca Verde,"1,69","348,118","9,013333333"
2,6,4,1,"0,77","0,08","9,625","1,5",1282,Penca Ancha,"0,85","174,7","4,533333333"
2,7,4,2,"0,66","0,07","9,428571429","1,5",1282,Penca Verde,"0,73","169,015","3,893333333"
2,8,2,2,"1,63","0,2","8,15","0,5",427,Penca Verde,"1,83","411,628","9,76"
3,1,1,1,"0,61","0,07","8,714285714",0,0,Penca Ancha,"0,68","124,176","3,626666667"
3,2,4,1,"1,17","0,07","16,71428571","1,5",1282,Penca Ancha,"1,24","254,97","6,613333333"
3,3,3,1,"0,99","0,11",9,1,854,Penca Ancha,"1,1","202,926","5,866666667"
3,4,2,2,"0,76","0,07","10,85714286","0,5",427,Penca Verde,"0,83","147,14","4,426666667"
3,5,3,2,"1,39","0,12","11,58333333",1,854,Penca Verde,"1,51","299,2","8,053333333"
3,6,4,2,"0,94","0,09","10,44444444","1,5",1282,Penca Verde,"1,03","200,559","5,493333333"
3,7,2,1,"0,93","0,05","18,6","0,5",427,Penca Ancha,"0,98","250,261","5,226666667"
3,8,1,2,"0,67","0,03","22,33333333",0,0,Penca Verde,"0,7","148,177","3,733333333"
4,1,4,2,"0,18","0,02",9,"1,5",1282,Penca Verde,"0,2","41,724","1,066666667"
4,2,1,2,"0,5","0,09","5,555555556",0,0,Penca Verde,"0,59","126,034","3,146666667"
4,3,2,2,"0,26","0,04","6,5","0,5",427,Penca Verde,"0,3","59,141","1,6"
4,4,1,1,"0,52","0,07","7,428571429",0,0,Penca Ancha,"0,59","111,026","3,146666667"
4,5,3,2,"0,92","0,05","18,4",1,854,Penca Verde,"0,97","229,517","5,173333333"
4,6,4,1,"0,56","0,05","11,2","1,5",1282,Penca Ancha,"0,61","137,38","3,253333333"
4,7,3,1,"0,3","0,03",10,1,854,Penca Ancha,"0,33","79,441","1,76"
4,8,2,1,"0,84","0,07",12,"0,5",427,Penca Ancha,"0,91","197,726","4,853333333"