Bloque,UE,Dosis,Var,Pn,GrM2,NombreV,NP,PFPA,HM,HSM,R ,T,PesoT,PesoPA,AS
1,1,4,2,"1,5",1476,Penca Verde,7,257,"5,67","12,39","4,8","0,66","23,52","18,72","930,138"
1,2,2,2,"0,5",492,Penca Verde,5,568,"4,45","37,52","13,13","2,22","57,32","44,19","761,483"
1,3,3,2,"1,0",984,Penca Verde,4,613,"4,04","36,88","8,4","3,02","52,34","43,94","729,755"
1,4,3,1,"1,0",984,Penca Ancha,3,407,"6,14","19,9","5,02","2,73","33,79","28,77","744,852"
1,5,1,2,"0,0",0,Penca Verde,4,437,"7,73","16,98","9,07","3,44","37,22","28,15","1133,635"
1,6,4,1,"1,5",1476,Penca Ancha,5,197,"3,48","10,11","2,73","1,29","17,61","14,88","534,877"
1,7,2,1,"0,5",492,Penca Ancha,3,463,"5,2","28,65","4,35","3,67","41,87","37,52","810,808"
1,8,1,1,"0,0",0,Penca Ancha,3,56,"1,79","2,99","0,4","0,37","5,55","5,15","367,179"
2,1,2,1,"0,5",492,Penca Ancha,4,510,"7,05","32,51","5,73","3,8","49,09","43,36","836,336"
2,2,1,1,"0,0",0,Penca Ancha,3,120,"5,27","35,74","1,97","3,17","46,15","44,18","899,522"
2,3,3,1,"1,0",984,Penca Ancha,4,253,"1,34","15,08","2,09",0,"18,51","16,42","427,395"
2,4,3,2,"1,0",984,Penca Verde,4,252,"4,72","16,18","12,09","2,91","35,9","23,81","605,003"
2,5,1,2,"0,0",0,Penca Verde,4,236,"2,91","17,28","5,02","1,85","27,06","22,04","836,302"
2,6,4,1,"1,5",1476,Penca Ancha,3,280,"5,05","16,48","3,96","2,52","28,01","24,05","693,141"
2,7,4,2,"1,5",1476,Penca Verde,3,714,"6,63","43,71","9,47","3,42","63,23","53,76","1159,501"
2,8,2,2,"0,5",492,Penca Verde,4,306,"6,64","18,33","5,96","2,56","33,49","27,53","794,266"
3,1,1,1,"0,0",0,Penca Ancha,4,45,"1,26","3,57","0,94",0,"5,77","4,83","184,347"
3,2,4,1,"1,5",1476,Penca Ancha,5,440,"6,57","3,45","5,2",0,"15,22","10,02","647,953"
3,3,3,1,"1,0",984,Penca Ancha,3,84,"2,1","5,59","3,11","0,99","11,79","8,68","337,165"
3,4,2,2,"0,5",492,Penca Verde,4,174,"3,48","12,3","3,08","1,79","20,65","17,57","502,968"
3,5,3,2,"1,0",984,Penca Verde,6,231,"6,06","15,56","9,12","1,91","32,65","23,53","873,37"
3,6,4,2,"1,5",1476,Penca Verde,5,422,"4,46","28,05","15,15","4,23","51,89","36,74","785,832"
3,7,2,1,"0,5",492,Penca Ancha,5,312,"5,43","19,73","3,88","2,99","32,03","28,15","615,31"
3,8,1,2,"0,0",0,Penca Verde,4,156,"1,87","10,89","4,32","2,06","19,14","14,82","336,525"
4,1,4,2,"1,5",1476,Penca Verde,4,168,"3,71","10,18","7,18","1,92","22,99","15,81","640,08"
4,2,1,2,"0,0",0,Penca Verde,3,144,"2,38","10,12","4,4","1,37","18,27","13,87","375,996"
4,3,2,2,"0,5",492,Penca Verde,3,69,"2,05","4,83","2,2","0,75","9,83","7,63","308,277"
4,4,1,1,"0,0",0,Penca Ancha,5,68,"2,35","4,14","1,11",0,"7,6","6,49","304,138"
4,5,3,2,"1,0",984,Penca Verde,4,302,"3,04","19,72","2,26","2,6","27,62","25,36","450,677"
4,6,4,1,"1,5",1476,Penca Ancha,4,113,"3,24","5,79","4,62","0,54","14,19","9,57","450,377"
4,7,3,1,"1,0",984,Penca Ancha,4,427,"6,6","25,8","6,38",2,"40,78","34,4","853,59"
4,8,2,1,"0,5",492,Penca Ancha,6,30,"1,22","1,45","1,1",0,"3,77","2,67","220,415"