Bloque,UE,Dosis,Var,Pn,GrM2,NombreV,NP,R,H,A,PesoT
1,1,2,1,"0,5",492,Penca Ancha,3,"0,07","0,34","94,697","0,41"
1,2,4,2,"1,5",1476,Penca Verde,3,"0,11","0,97","240,566","1,08"
1,3,3,1,"1,0",984,Penca Ancha,4,"0,06","0,2","48,613","0,26"
1,4,3,2,"1,0",984,Penca Verde,3,"0,06","0,44","108,188","0,5"
1,5,1,1,"0,0",0,Penca Ancha,3,"0,08","0,14","45,67","0,22"
1,6,2,2,"0,5",492,Penca Verde,8,"0,16","0,62","138,667","0,78"
1,7,4,1,"1,5",1476,Penca Ancha,6,"0,11","0,39","92,285","0,5"
1,8,1,1,"0,0",0,Penca Ancha,3,"0,12","0,3","70,581","0,42"
2,1,2,1,"0,5",492,Penca Ancha,8,"0,12","0,29","55,385","0,41"
2,2,1,1,"0,0",0,Penca Ancha,3,"0,05","0,13","25,719","0,18"
2,3,3,1,"1,0",984,Penca Ancha,5,"0,08","0,15","41,672","0,23"
2,4,3,2,"1,0",984,Penca Verde,5,"0,09","0,33","81,529","0,42"
2,5,1,2,"0,0",0,Penca Verde,3,"0,15","1,17","251,572","1,32"
2,6,4,1,"1,5",1476,Penca Ancha,3,"0,08","0,52","135,539","0,6"
2,7,4,2,"1,5",1476,Penca Verde,3,"0,13","0,8","173,475","0,93"
2,8,2,2,"0,5",492,Penca Verde,3,"0,1","0,72","184,528","0,82"
3,1,1,1,"0,0",0,Penca Ancha,6,"0,07","0,21","52,449","0,28"
3,2,4,1,"1,5",1476,Penca Ancha,5,"0,13","0,35","80,001","0,48"
3,3,3,1,"1,0",984,Penca Ancha,4,"0,14","0,49","132,986","0,63"
3,4,2,2,"0,5",492,Penca Verde,4,"0,11","0,55","156,169","0,66"
3,5,3,2,"1,0",984,Penca Verde,4,"0,1","0,59","493,523","0,69"
3,6,4,2,"1,5",1476,Penca Verde,7,"0,1","0,76","218,219","0,86"
3,7,2,1,"0,5",492,Penca Ancha,7,"0,14","0,6","178,685","0,74"
3,8,1,2,"0,0",0,Penca Verde,3,"0,13","0,8","264,638","0,93"
4,1,4,2,"1,5",1476,Penca Verde,5,"0,15","0,8","195,332","0,95"
4,2,1,2,"0,0",0,Penca Verde,4,"0,06","0,28","78,319","0,34"
4,3,2,2,"0,5",492,Penca Verde,4,"0,16","0,88","200,533","1,04"
4,4,1,1,"0,0",0,Penca Ancha,4,"0,09","0,84","179,703","0,93"
4,5,3,2,"1,0",984,Penca Verde,4,"0,15","1,01","261,361","1,16"
4,6,4,1,"1,5",1476,Penca Ancha,6,"0,15","0,69","159,108","0,84"
4,7,3,1,"1,0",984,Penca Ancha,5,"0,12","0,5","132,446","0,62"
4,8,2,1,"0,5",492,Penca Ancha,5,"0,1","0,5","96,964","0,6"